name,major
user392,N/A
user393,Ethics
user393,Politics
user393,and Economics
user394,Physics
user394,Economics
user394,Computer Science
user395,Computer Science
user396,Computer Science
user396,Economics
user397,Computer Science
user398,Computer Science
user399,Political Science
user400,Computer Science
user401,Comparative Eastern European Studies
user401,Viola Performance
user402,Cognitive Science
user403,Quantitative Sciences
user404,Computer Science
user404,Mathematics
user405,Biology
user406,Chemistry
user406,Government
user407,Environmental Engineering
user408,Public Policy
user409,Computer Science
user410,Quantitative Social Science
user411,Computer Science
user412,Environmental Studies
user413,Computer Science
user414,Economics
user414,Computer Science
user415,Oboe Performance
user415,Computer Engineering
user416,Statistics
user416,Global Health
user417,Journalism
user418,Computer Science
user419,Computer Science
user420,Computer Science
user421,Humanities
user421,Visual Arts
user422,Political Science
user422,Violin Performance
user423,Political Science
user423,Economics
user424,Political Science
user424,Computer Science
user425,Sociology
user425,Government
user426,Business
user426,Entrepreneurship
user426,and Organizations
user427,Political Science
user428,Physics
user429,Computer Science
user430,Computer Science
user430,Film
user431,Economics
user432,Psychology
user433,Urban Studies
user434,Computer Science
user434,Economics
user435,Neuroscience
user436,Political Science
user437,Mathematics
user437,Computer Science
user438,Computer Science
user439,Cell and Molecular Biology
user440,Aerospace Engineering
user441,Computer Science
user442,Government and Legal Studies
user443,N/A
user444,Meteorology
user445,Computer Science
user446,N/A
user447,Computer Science
user447,Government and Politics
user448,Informatics
user449,Architecture
user450,Computer Science
user450,Mathematics
user451,Behavioral Neuroscience
user452,Computer Science
user453,Business Administration
user454,Economics
user455,Biology
user456,Finance
user457,Professional Flight
user458,Biochemistry
user459,N/A
user460,Computer Science
user461,Theatre
user461,Political Science
user462,Psychology
user462,Sociology
user463,N/A
user464,Philosophy
user465,Biology
user466,International Relations
user466,Business and Marketing
user467,N/A
user468,Biology
user469,Computer Science
user469,Astronomy
user470,N/A
user471,Mathematics
user472,Economics
user473,Computer Science
user474,Genetics
user475,Biochemistry
user476,Economics
user477,Biochemistry
user477,French
user478,Polymer Science and Engineering
user479,Computer Science
user480,Computer Science
user481,Applied Mathematics
user482,Economics
user482,Biochemistry
user483,Marketing
user484,Computer Science
user485,Engineering
user486,Computer Science
user486,Mathematics
user487,Undeclared-Life Sciences
user488,Computer Engineering
user489,Electrical Engineering and Computer Sciences
user490,Economics
user491,Design Media Arts
user492,Biomedical Engineering
user493,Computer Engineering
user494,Biochemistry
